########################################################################################################################                                                                                                     
#                            Information of the orbit of Hayabusa2                                                     #                                                                                                     
#                                                                                   JAXA Hayabusa2 Orbit Planning Team #                                                                                                     
########################################################################################################################                                                                                                     
# L+    : Total date counted from the launchÅiLaunch date & time (2014/12/3 4:22:04UT)  [day]                                                                                                                                              
# X,Y,Z : Coordinate value based on the ecliptic plane [km]                                                                                          
# Rs    : Distance between Hayabusa2 and the Sun       [10^4km]                                                                                                                                                     
# Re    : Distance between Hayabusa2 and the Earth     [10^4km]                                                                                                                                                     
# Ra    : Distance between Hayabusa2 and Ryugu         [10^4km]                                                                                                                                                     
# Vs    : Cruising speed of Hayabusa2 (relative to the velocity of the Sun)    [km/s]                                                                                                                                                   
# Ve    : Relative speed of Hayabusa2 to the Earth     [km/s]                                                                                                                                                   
# alpha : Right ascension of Hayabusa2 as seen from the Earth  [deg]                                                                                                                                                                 
# delta : Declination of Hayabusa2 as seen from the Earth      [deg]                                                                                                                                                                 
# Dflt  : Total flight distance of Hayabusa2           [10^4km]                                                                                                                                                                                                                                                                                                                                                           
#============================================================================================================================================================================================================================
#                             |-----------  Spacecraft  ----------|  |-----------    Earth    -----------| |-----------    Ryugu      ----------|                                                                           
#       UTC             L+        X            Y            Z            X            Y            Z            X            Y            Z            Rs         Re         Ra       Vs       Ve     alpha    delta   Dflt  
#                      [day]     [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]         [km]       [10^4km]   [10^4km]   [10^4km]  [km/s]   [km/s]   [deg]    [deg] [10^4km]
#--------1---------------2--------3------------4------------5------------6------------7------------8------------9------------10-----------11-----------12---------13---------14-------15-------16-------17-------18-----19---
2015/03/15.05:00:01    102.0 -153738000.0   50213000.0  -19294000.0 -147957000.0   15346000.0          0.0   65396000.0 -200830000.0   12924000.0   16287.82    4026.69   33478.60   27.25    6.40    98.29    -5.46  24999.5
2015/03/16.05:00:01    103.0 -154467000.0   47974000.0  -19288000.0 -148243000.0   12773000.0          0.0   67223000.0 -200170000.0   13081000.0   16289.20    4061.87   33432.15   27.25    6.44    98.85    -5.22  25234.9
2015/03/17.05:00:01    104.0 -155160000.0   45725000.0  -19278000.0 -148485000.0   10197000.0          0.0   69043000.0 -199490000.0   13237000.0   16290.28    4096.87   33384.91   27.25    6.48    99.41    -4.98  25470.3
2015/03/18.05:00:01    105.0 -155818000.0   43465000.0  -19264000.0 -148681000.0    7617000.0          0.0   70855000.0 -198788000.0   13391000.0   16291.00    4131.74   33336.84   27.24    6.52    99.98    -4.74  25705.6
2015/03/19.05:00:01    106.0 -156439000.0   41196000.0  -19246000.0 -148833000.0    5035000.0          0.0   72660000.0 -198065000.0   13544000.0   16291.39    4166.36   33287.95   27.24    6.56   100.55    -4.51  25941.0
2015/03/20.05:00:01    107.0 -157025000.0   38917000.0  -19223000.0 -148940000.0    2451000.0          0.0   74458000.0 -197322000.0   13696000.0   16291.46    4200.78   33238.23   27.23    6.60   101.13    -4.28  26176.3
2015/03/21.05:00:01    108.0 -157575000.0   36629000.0  -19196000.0 -149002000.0    -132000.0          0.0   76248000.0 -196558000.0   13846000.0   16291.19    4234.96   33187.68   27.23    6.64   101.71    -4.05  26411.6
2015/03/22.05:00:01    109.0 -158089000.0   34334000.0  -19164000.0 -149019000.0   -2716000.0          0.0   78029000.0 -195774000.0   13995000.0   16290.58    4268.90   33136.31   27.23    6.68   102.29    -3.82  26646.8
2015/03/23.05:00:01    110.0 -158566000.0   32030000.0  -19128000.0 -148991000.0   -5300000.0          0.0   79803000.0 -194969000.0   14142000.0   16289.63    4302.57   33084.12   27.23    6.72   102.88    -3.60  26882.1
2015/03/24.05:00:01    111.0 -159007000.0   29719000.0  -19088000.0 -148918000.0   -7882000.0       1000.0   81568000.0 -194143000.0   14288000.0   16288.36    4335.96   33031.09   27.24    6.76   103.48    -3.38  27117.5
2015/03/25.05:00:01    112.0 -159413000.0   27399000.0  -19043000.0 -148801000.0  -10461000.0       1000.0   83324000.0 -193297000.0   14432000.0   16286.83    4368.93   32977.22   27.24    6.79   104.08    -3.17  27353.0
2015/03/26.05:00:01    113.0 -159781000.0   25075000.0  -18994000.0 -148639000.0  -13036000.0       1000.0   85072000.0 -192430000.0   14575000.0   16284.89    4401.74   32922.56   27.24    6.83   104.68    -2.95  27588.3
2015/03/27.05:00:01    114.0 -160113000.0   22745000.0  -18941000.0 -148433000.0  -15608000.0       1000.0   86811000.0 -191543000.0   14716000.0   16282.61    4434.26   32867.08   27.25    6.87   105.29    -2.74  27823.7
2015/03/28.05:00:01    115.0 -160407000.0   20410000.0  -18883000.0 -148183000.0  -18175000.0       1000.0   88540000.0 -190636000.0   14856000.0   16280.01    4466.46   32810.78   27.25    6.91   105.90    -2.54  28059.2
2015/03/29.05:00:01    116.0 -160665000.0   18070000.0  -18821000.0 -147889000.0  -20736000.0       1000.0   90260000.0 -189709000.0   14994000.0   16277.07    4498.35   32753.67   27.26    6.94   106.52    -2.34  28294.7
2015/03/30.05:00:01    117.0 -160886000.0   15726000.0  -18754000.0 -147550000.0  -23291000.0       1000.0   91971000.0 -188762000.0   15130000.0   16273.80    4529.93   32695.76   27.26    6.98   107.13    -2.14  28530.2
2015/03/31.05:00:01    118.0 -161070000.0   13378000.0  -18684000.0 -147168000.0  -25838000.0       1000.0   93672000.0 -187794000.0   15265000.0   16270.19    4561.19   32637.03   27.27    7.01   107.76    -1.94  28765.8
2015/04/01.05:00:01    119.0 -161217000.0   11028000.0  -18609000.0 -146743000.0  -28378000.0       1000.0   95363000.0 -186807000.0   15398000.0   16266.26    4592.13   32577.50   27.28    7.05   108.38    -1.75  29001.4
2015/04/02.05:00:01    120.0 -161327000.0    8674000.0  -18529000.0 -146274000.0  -30909000.0       1000.0   97044000.0 -185800000.0   15530000.0   16262.00    4622.75   32517.16   27.29    7.09   109.01    -1.56  29237.2
2015/04/03.05:00:01    121.0 -161400000.0    6319000.0  -18446000.0 -145762000.0  -33432000.0       1000.0   98714000.0 -184772000.0   15660000.0   16257.40    4653.03   32456.03   27.29    7.12   109.64    -1.37  29472.9
2015/04/04.05:00:01    122.0 -161435000.0    3962000.0  -18358000.0 -145207000.0  -35944000.0       1000.0  100374000.0 -183726000.0   15788000.0   16252.48    4682.99   32394.10   27.30    7.16   110.28    -1.19  29708.8
2015/04/05.05:00:01    123.0 -161434000.0    1605000.0  -18266000.0 -144610000.0  -38445000.0       1000.0  102023000.0 -182659000.0   15915000.0   16247.23    4712.62   32331.37   27.31    7.19   110.92    -1.01  29944.7
2015/04/06.05:00:01    124.0 -161395000.0    -752000.0  -18170000.0 -143969000.0  -40936000.0       1000.0  103661000.0 -181573000.0   16040000.0   16241.65    4741.92   32267.86   27.32    7.23   111.56    -0.83  30180.8
2015/04/07.05:00:01    125.0 -161318000.0   -3110000.0  -18069000.0 -143287000.0  -43414000.0       1000.0  105288000.0 -180467000.0   16163000.0   16235.74    4770.89   32203.56   27.33    7.27   112.21    -0.66  30416.9
2015/04/08.05:00:01    126.0 -161205000.0   -5466000.0  -17965000.0 -142562000.0  -45880000.0       1000.0  106904000.0 -179342000.0   16284000.0   16229.53    4799.66   32138.57   27.35    7.30   112.86    -0.49  30653.0
2015/04/09.05:00:01    127.0 -161054000.0   -7821000.0  -17856000.0 -141795000.0  -48332000.0       1000.0  108508000.0 -178198000.0   16404000.0   16222.98    4827.97   32072.70   27.36    7.34   113.51    -0.32  30889.3
2015/04/10.05:00:01    128.0 -160865000.0  -10175000.0  -17743000.0 -140987000.0  -50771000.0       1000.0  110100000.0 -177034000.0   16522000.0   16216.10    4855.94   32006.06   27.37    7.38   114.16    -0.16  31125.7
2015/04/11.05:00:01    129.0 -160640000.0  -12527000.0  -17626000.0 -140137000.0  -53194000.0       1000.0  111681000.0 -175851000.0   16638000.0   16208.90    4883.57   31938.64   27.38    7.41   114.82     0.00  31362.2
2015/04/12.05:00:01    130.0 -160376000.0  -14876000.0  -17505000.0 -139246000.0  -55603000.0       1000.0  113249000.0 -174649000.0   16752000.0   16201.38    4910.87   31870.45   27.40    7.45   115.49     0.16  31598.9
2015/04/13.05:00:01    131.0 -160076000.0  -17221000.0  -17380000.0 -138314000.0  -57995000.0       1000.0  114805000.0 -173428000.0   16865000.0   16193.55    4937.82   31801.50   27.41    7.49   116.15     0.31  31835.7
2015/04/14.05:00:01    132.0 -159738000.0  -19562000.0  -17250000.0 -137341000.0  -60370000.0       2000.0  116349000.0 -172189000.0   16975000.0   16185.39    4964.43   31731.78   27.43    7.53   116.82     0.47  32072.6
2015/04/15.05:00:01    133.0 -159363000.0  -21899000.0  -17117000.0 -136328000.0  -62728000.0       2000.0  117879000.0 -170930000.0   17084000.0   16176.92    4990.69   31661.30   27.44    7.57   117.49     0.61  32309.6
2015/04/16.05:00:01    134.0 -158950000.0  -24231000.0  -16980000.0 -135274000.0  -65068000.0       2000.0  119397000.0 -169653000.0   17191000.0   16168.13    5016.60   31590.06   27.46    7.61   118.16     0.76  32546.8
2015/04/17.05:00:01    135.0 -158501000.0  -26557000.0  -16838000.0 -134181000.0  -67388000.0       2000.0  120902000.0 -168357000.0   17296000.0   16159.03    5042.13   31518.07   27.48    7.65   118.84     0.90  32784.1
2015/04/18.05:00:01    136.0 -158014000.0  -28876000.0  -16693000.0 -133048000.0  -69689000.0       2000.0  122393000.0 -167042000.0   17399000.0   16149.62    5067.30   31445.33   27.49    7.69   119.52     1.04  33021.6
2015/04/19.05:00:01    137.0 -157490000.0  -31189000.0  -16544000.0 -131876000.0  -71969000.0       2000.0  123871000.0 -165709000.0   17500000.0   16139.90    5092.07   31371.85   27.51    7.73   120.21     1.17  33259.2
2015/04/20.05:00:01    138.0 -156928000.0  -33495000.0  -16391000.0 -130665000.0  -74228000.0       3000.0  125336000.0 -164358000.0   17599000.0   16129.87    5116.45   31297.63   27.53    7.76   120.89     1.30  33497.0
2015/04/21.05:00:01    139.0 -156330000.0  -35792000.0  -16234000.0 -129415000.0  -76466000.0       3000.0  126786000.0 -162988000.0   17697000.0   16119.53    5140.43   31222.67   27.55    7.80   121.58     1.43  33734.9
2015/04/22.05:00:01    140.0 -155695000.0  -38081000.0  -16073000.0 -128128000.0  -78680000.0       3000.0  128222000.0 -161601000.0   17792000.0   16108.89    5163.99   31146.98   27.57    7.84   122.28     1.55  33973.0
2015/04/23.05:00:01    141.0 -155023000.0  -40361000.0  -15908000.0 -126804000.0  -80872000.0       3000.0  129644000.0 -160195000.0   17885000.0   16097.94    5187.13   31070.56   27.59    7.87   122.97     1.67  34211.3
2015/04/24.05:00:01    142.0 -154314000.0  -42632000.0  -15740000.0 -125442000.0  -83040000.0       3000.0  131052000.0 -158771000.0   17977000.0   16086.70    5209.83   30993.41   27.61    7.91   123.67     1.79  34449.8
2015/04/25.05:00:01    143.0 -153568000.0  -44892000.0  -15568000.0 -124044000.0  -85183000.0       3000.0  132444000.0 -157330000.0   18066000.0   16075.15    5232.11   30915.55   27.63    7.94   124.37     1.91  34688.4
2015/04/26.05:00:01    144.0 -152786000.0  -47142000.0  -15392000.0 -122610000.0  -87302000.0       3000.0  133822000.0 -155870000.0   18153000.0   16063.31    5253.94   30836.97   27.65    7.97   125.08     2.02  34927.2
2015/04/27.05:00:01    145.0 -151967000.0  -49380000.0  -15212000.0 -121141000.0  -89394000.0       3000.0  135185000.0 -154394000.0   18239000.0   16051.18    5275.32   30757.69   27.68    8.01   125.79     2.12  35166.2
2015/04/28.05:00:01    146.0 -151112000.0  -51607000.0  -15029000.0 -119637000.0  -91461000.0       3000.0  136532000.0 -152899000.0   18322000.0   16038.75    5296.26   30677.69   27.70    8.04   126.49     2.23  35405.5
2015/04/29.05:00:01    147.0 -150220000.0  -53821000.0  -14842000.0 -118098000.0  -93501000.0       3000.0  137864000.0 -151388000.0   18403000.0   16026.03    5316.75   30597.00   27.72    8.07   127.21     2.33  35644.9
2015/04/30.05:00:01    148.0 -149293000.0  -56022000.0  -14652000.0 -116525000.0  -95514000.0       3000.0  139180000.0 -149859000.0   18482000.0   16013.03    5336.79   30515.61   27.75    8.10   127.92     2.43  35884.5
2015/05/01.05:00:01    149.0 -148329000.0  -58210000.0  -14458000.0 -114918000.0  -97500000.0       3000.0  140480000.0 -148313000.0   18559000.0   15999.74    5356.37   30433.53   27.77    8.13   128.64     2.52  36124.4
2015/05/02.05:00:01    150.0 -147329000.0  -60384000.0  -14261000.0 -113279000.0  -99457000.0       3000.0  141764000.0 -146750000.0   18634000.0   15986.16    5375.49   30350.77   27.80    8.16   129.35     2.62  36364.4
2015/05/03.05:00:01    151.0 -146294000.0  -62543000.0  -14060000.0 -111607000.0 -101385000.0       3000.0  143032000.0 -145170000.0   18706000.0   15972.31    5394.17   30267.33   27.82    8.19   130.07     2.71  36604.7
2015/05/04.05:00:01    152.0 -145223000.0  -64687000.0  -13856000.0 -109903000.0 -103284000.0       3000.0  144283000.0 -143573000.0   18777000.0   15958.18    5412.38   30183.21   27.85    8.22   130.80     2.79  36845.2
2015/05/05.05:00:01    153.0 -144117000.0  -66815000.0  -13648000.0 -108167000.0 -105154000.0       3000.0  145518000.0 -141959000.0   18845000.0   15943.77    5430.14   30098.42   27.88    8.25   131.52     2.88  37085.9
2015/05/06.05:00:01    154.0 -142975000.0  -68926000.0  -13436000.0 -106401000.0 -106993000.0       3000.0  146735000.0 -140329000.0   18911000.0   15929.08    5447.45   30012.96   27.90    8.28   132.25     2.96  37326.9
2015/05/07.05:00:01    155.0 -141799000.0  -71021000.0  -13222000.0 -104603000.0 -108802000.0       3000.0  147936000.0 -138683000.0   18975000.0   15914.13    5464.30   29926.85   27.93    8.30   132.97     3.04  37568.1
2015/05/08.05:00:01    156.0 -140588000.0  -73098000.0  -13005000.0 -102776000.0 -110580000.0       3000.0  149119000.0 -137020000.0   19036000.0   15898.92    5480.69   29840.09   27.96    8.33   133.70     3.11  37809.6
2015/05/09.05:00:01    157.0 -139341000.0  -75158000.0  -12784000.0 -100919000.0 -112326000.0       3000.0  150284000.0 -135342000.0   19096000.0   15883.44    5496.64   29752.68   27.99    8.36   134.44     3.18  38051.3
2015/05/10.05:00:01    158.0 -138061000.0  -77198000.0  -12560000.0  -99033000.0 -114040000.0       3000.0  151432000.0 -133647000.0   19153000.0   15867.71    5512.13   29664.64   28.02    8.39   135.17     3.25  38293.2
2015/05/11.05:00:01    159.0 -136746000.0  -79220000.0  -12333000.0  -97118000.0 -115721000.0       3000.0  152562000.0 -131936000.0   19208000.0   15851.71    5527.16   29575.95   28.05    8.42   135.90     3.32  38535.5
2015/05/12.05:00:01    160.0 -135398000.0  -81222000.0  -12103000.0  -95175000.0 -117370000.0       3000.0  153674000.0 -130210000.0   19260000.0   15835.46    5541.74   29486.64   28.08    8.45   136.64     3.38  38777.9
2015/05/13.05:00:01    161.0 -134015000.0  -83204000.0  -11870000.0  -93205000.0 -118984000.0       4000.0  154767000.0 -128468000.0   19311000.0   15818.96    5555.85   29396.70   28.11    8.48   137.38     3.44  39020.7
2015/05/14.05:00:01    162.0 -132599000.0  -85165000.0  -11634000.0  -91207000.0 -120565000.0       4000.0  155841000.0 -126711000.0   19359000.0   15802.21    5569.49   29306.14   28.15    8.50   138.12     3.50  39263.7
2015/05/15.05:00:01    163.0 -131149000.0  -87104000.0  -11395000.0  -89183000.0 -122111000.0       4000.0  156897000.0 -124938000.0   19404000.0   15785.22    5582.65   29214.97   28.18    8.53   138.87     3.56  39507.0
2015/05/16.05:00:01    164.0 -129667000.0  -89022000.0  -11154000.0  -87134000.0 -123622000.0       4000.0  157934000.0 -123151000.0   19448000.0   15767.99    5595.33   29123.19   28.21    8.56   139.61     3.61  39750.6
2015/05/17.05:00:01    165.0 -128151000.0  -90917000.0  -10909000.0  -85059000.0 -125098000.0       4000.0  158952000.0 -121348000.0   19488000.0   15750.52    5607.52   29030.82   28.24    8.59   140.36     3.66  39994.5
2015/05/18.05:00:01    166.0 -126604000.0  -92789000.0  -10662000.0  -82959000.0 -126537000.0       4000.0  159950000.0 -119530000.0   19527000.0   15732.82    5619.21   28937.87   28.28    8.62   141.11     3.71  40238.7
2015/05/19.05:00:01    167.0 -125024000.0  -94638000.0  -10412000.0  -80836000.0 -127941000.0       4000.0  160929000.0 -117698000.0   19563000.0   15714.89    5630.40   28844.33   28.31    8.64   141.86     3.76  40483.1
2015/05/20.05:00:01    168.0 -123412000.0  -96462000.0  -10159000.0  -78690000.0 -129307000.0       4000.0  161887000.0 -115852000.0   19597000.0   15696.74    5641.07   28750.22   28.35    8.67   142.61     3.80  40727.9
2015/05/21.05:00:01    169.0 -121768000.0  -98262000.0   -9904000.0  -76521000.0 -130636000.0       5000.0  162826000.0 -113991000.0   19628000.0   15678.36    5651.23   28655.55   28.38    8.69   143.37     3.84  40972.9
2015/05/22.05:00:01    170.0 -120093000.0 -100036000.0   -9646000.0  -74330000.0 -131928000.0       5000.0  163745000.0 -112115000.0   19657000.0   15659.77    5660.85   28560.31   28.42    8.72   144.12     3.88  41218.3
2015/05/23.05:00:01    171.0 -118387000.0 -101784000.0   -9386000.0  -72118000.0 -133182000.0       5000.0  164643000.0 -110226000.0   19683000.0   15640.96    5669.95   28464.53   28.45    8.74   144.88     3.92  41464.0
2015/05/24.05:00:01    172.0 -116651000.0 -103507000.0   -9124000.0  -69886000.0 -134397000.0       5000.0  165520000.0 -108323000.0   19707000.0   15621.95    5678.50   28368.20   28.49    8.76   145.64     3.95  41709.9
2015/05/25.05:00:01    173.0 -114884000.0 -105202000.0   -8859000.0  -67634000.0 -135574000.0       5000.0  166377000.0 -106406000.0   19729000.0   15602.73    5686.52   28271.34   28.52    8.78   146.40     3.98  41956.2
2015/05/26.05:00:01    174.0 -113087000.0 -106870000.0   -8591000.0  -65363000.0 -136713000.0       4000.0  167212000.0 -104476000.0   19748000.0   15583.31    5693.99   28173.95   28.56    8.80   147.16     4.01  42202.8
2015/05/27.05:00:01    175.0 -111261000.0 -108510000.0   -8322000.0  -63073000.0 -137812000.0       4000.0  168026000.0 -102533000.0   19764000.0   15563.70    5700.93   28076.06   28.60    8.82   147.93     4.04  42449.8
2015/05/28.05:00:01    176.0 -109405000.0 -110121000.0   -8050000.0  -60766000.0 -138872000.0       4000.0  168819000.0 -100576000.0   19778000.0   15543.89    5707.31   27977.65   28.64    8.84   148.69     4.07  42697.0
2015/05/29.05:00:01    177.0 -107521000.0 -111704000.0   -7776000.0  -58441000.0 -139893000.0       4000.0  169590000.0  -98607000.0   19789000.0   15523.90    5713.15   27878.73   28.68    8.85   149.46     4.09  42944.6
2015/05/30.05:00:01    178.0 -105608000.0 -113256000.0   -7500000.0  -56101000.0 -140874000.0       4000.0  170339000.0  -96624000.0   19798000.0   15503.72    5718.44   27779.33   28.71    8.87   150.23     4.11  43192.5
2015/05/31.05:00:01    179.0 -103667000.0 -114779000.0   -7222000.0  -53744000.0 -141815000.0       4000.0  171066000.0  -94630000.0   19804000.0   15483.36    5723.18   27679.44   28.75    8.88   150.99     4.13  43440.8
2015/06/01.05:00:01    180.0 -101698000.0 -116271000.0   -6942000.0  -51373000.0 -142716000.0       4000.0  171770000.0  -92622000.0   19808000.0   15462.83    5727.38   27579.07   28.79    8.90   151.76     4.15  43689.4
2015/06/02.05:00:01    181.0  -99702000.0 -117732000.0   -6661000.0  -48987000.0 -143577000.0       4000.0  172452000.0  -90603000.0   19809000.0   15442.13    5731.04   27478.25   28.83    8.91   152.53     4.17  43938.3
2015/06/03.05:00:01    182.0  -97680000.0 -119161000.0   -6377000.0  -46587000.0 -144397000.0       4000.0  173112000.0  -88572000.0   19808000.0   15421.27    5734.15   27376.96   28.88    8.92   153.30     4.18  44187.6
2015/06/04.05:00:01    183.0  -95630000.0 -120558000.0   -6092000.0  -44174000.0 -145176000.0       4000.0  173748000.0  -86529000.0   19803000.0   15400.25    5736.70   27275.21   28.92    8.94   154.08     4.20  44437.3
2015/06/05.05:00:01    184.0  -93555000.0 -121923000.0   -5805000.0  -41748000.0 -145915000.0       4000.0  174361000.0  -84474000.0   19796000.0   15379.08    5738.70   27173.01   28.96    8.95   154.85     4.21  44687.3
2015/06/06.05:00:01    185.0  -91454000.0 -123254000.0   -5517000.0  -39311000.0 -146612000.0       4000.0  174951000.0  -82408000.0   19787000.0   15357.76    5740.14   27070.37   29.01    8.96   155.62     4.22  44937.8
2015/06/07.05:00:01    186.0  -89327000.0 -124552000.0   -5227000.0  -36862000.0 -147268000.0       4000.0  175517000.0  -80331000.0   19775000.0   15336.29    5741.04   26967.31   29.05    8.97   156.40     4.23  45188.5
2015/06/08.05:00:01    187.0  -87176000.0 -125816000.0   -4935000.0  -34403000.0 -147883000.0       4000.0  176059000.0  -78243000.0   19760000.0   15314.70    5741.40   26863.84   29.09    8.98   157.18     4.24  45439.7
2015/06/09.05:00:01    188.0  -85002000.0 -127045000.0   -4643000.0  -31934000.0 -148455000.0       4000.0  176577000.0  -76145000.0   19742000.0   15292.97    5741.24   26759.97   29.13    8.99   157.95     4.25  45691.2
2015/06/10.05:00:01    189.0  -82803000.0 -128239000.0   -4349000.0  -29455000.0 -148986000.0       4000.0  177072000.0  -74036000.0   19722000.0   15271.12    5740.56   26655.73   29.18    9.00   158.73     4.25  45943.1
2015/06/11.05:00:01    190.0  -80582000.0 -129397000.0   -4053000.0  -26968000.0 -149475000.0       5000.0  177541000.0  -71917000.0   19699000.0   15249.15    5739.34   26551.12   29.22    9.01   159.51     4.26  46195.4
2015/06/12.05:00:01    191.0  -78338000.0 -130519000.0   -3757000.0  -24473000.0 -149922000.0       5000.0  177986000.0  -69787000.0   19673000.0   15227.06    5737.59   26446.14   29.26    9.02   160.29     4.26  46448.0
2015/06/13.05:00:01    192.0  -76072000.0 -131605000.0   -3460000.0  -21971000.0 -150326000.0       5000.0  178407000.0  -67648000.0   19645000.0   15204.87    5735.30   26340.82   29.31    9.03   161.07     4.27  46701.0
2015/06/14.05:00:01    193.0  -73784000.0 -132653000.0   -3161000.0  -19462000.0 -150687000.0       5000.0  178802000.0  -65500000.0   19614000.0   15182.58    5732.47   26235.17   29.35    9.04   161.85     4.27  46954.4
2015/06/15.05:00:01    194.0  -71476000.0 -133664000.0   -2862000.0  -16948000.0 -151005000.0       5000.0  179172000.0  -63342000.0   19580000.0   15160.20    5729.09   26129.19   29.39    9.05   162.63     4.27  47208.2
2015/06/16.05:00:01    195.0  -69147000.0 -134636000.0   -2562000.0  -14429000.0 -151281000.0       5000.0  179516000.0  -61175000.0   19543000.0   15137.72    5725.15   26022.90   29.44    9.06   163.42     4.27  47462.3
2015/06/17.05:00:01    196.0  -66799000.0 -135571000.0   -2261000.0  -11906000.0 -151514000.0       5000.0  179835000.0  -59000000.0   19504000.0   15115.16    5720.65   25916.31   29.48    9.07   164.20     4.27  47716.8
2015/06/18.05:00:01    197.0  -64431000.0 -136466000.0   -1960000.0   -9379000.0 -151704000.0       5000.0  180128000.0  -56816000.0   19461000.0   15092.52    5715.59   25809.43   29.53    9.07   164.99     4.27  47971.7
2015/06/19.05:00:01    198.0  -62045000.0 -137322000.0   -1658000.0   -6850000.0 -151851000.0       5000.0  180395000.0  -54624000.0   19416000.0   15069.81    5709.95   25702.28   29.57    9.08   165.78     4.27  48227.0
2015/06/20.05:00:01    199.0  -59641000.0 -138138000.0   -1355000.0   -4319000.0 -151954000.0       5000.0  180635000.0  -52424000.0   19368000.0   15047.04    5703.74   25594.87   29.62    9.08   166.56     4.27  48482.7
2015/06/21.05:00:01    200.0  -57220000.0 -138915000.0   -1053000.0   -1787000.0 -152015000.0       5000.0  180849000.0  -50216000.0   19317000.0   15024.21    5696.96   25487.21   29.66    9.08   167.35     4.27  48738.8
2015/06/22.05:00:01    201.0  -54782000.0 -139650000.0    -749000.0     745000.0 -152033000.0       5000.0  181037000.0  -48001000.0   19263000.0   15001.32    5689.59   25379.32   29.71    9.09   168.14     4.27  48995.3
2015/06/23.05:00:01    202.0  -52327000.0 -140345000.0    -446000.0    3276000.0 -152007000.0       5000.0  181197000.0  -45779000.0   19207000.0   14978.39    5681.65   25271.20   29.75    9.09   168.93     4.26  49252.1
